term,valence,arousal,dominance
a-battery,0.57,0.35,0.45
a-bit,0.45,0.37,0.4
a-bunch,0.54,0.33,0.46
a-cappella,0.57,0.44,0.4
a-couple,0.64,0.44,0.54
a-drive,0.57,0.57,0.53
a-few,0.43,0.33,0.42
a-further,0.4,0.43,0.44
a-getaway,0.61,0.54,0.49
a-go,0.51,0.54,0.49
a-goner,0.38,0.43,0.33
a-good,0.84,0.42,0.7
a-handful,0.51,0.56,0.45
a-heel,0.5,0.46,0.43
a-kickback,0.2,0.53,0.43
a-little,0.54,0.31,0.32
a-lot,0.55,0.46,0.66
a-mere,0.35,0.38,0.46
a-must,0.51,0.36,0.57
a-no-brainer,0.36,0.52,0.38
a-one,0.59,0.41,0.49
a-pair,0.6,0.38,0.4
a-peach,0.68,0.36,0.43
a-pleasure,0.73,0.43,0.54
a-plus,0.71,0.51,0.57
a-priori,0.43,0.41,0.48
a-roll,0.57,0.49,0.5
a-sec,0.35,0.38,0.32
a-shame,0.18,0.46,0.41
a-single,0.45,0.43,0.3
a-smokescreen,0.22,0.63,0.3
a-sport,0.69,0.65,0.57
a-stretch,0.56,0.49,0.62
a-student,0.7,0.4,0.53
a-to-do,0.45,0.53,0.41
a-ton,0.6,0.46,0.56
a-touch,0.59,0.46,0.48
a-treat,0.77,0.41,0.56
a-while,0.51,0.39,0.47
aaaaaaah,0.48,0.6,0.29
aaaah,0.52,0.64,0.28
aardvark,0.43,0.49,0.43
aback,0.38,0.4,0.29
abacus,0.51,0.27,0.49
abalone,0.5,0.48,0.41
abandon,0.05,0.52,0.2
abandoned,0.04,0.48,0.13
abandoner,0.16,0.84,0.15
abandonment,0.13,0.43,0.2
abase,0.0,0.78,0.02
abased,0.0,0.16,0.04
abasement,0.0,0.33,0.02
abash,0.16,0.16,0.09
abashed,0.17,0.64,0.3
abashedly,0.16,0.19,0.02
abashment,0.09,0.24,0.11
abatable,0.75,0.21,0.5
abate,0.26,0.7,0.6
abatement,0.39,0.34,0.33
abba,0.56,0.5,0.48
abbey,0.58,0.36,0.44
abbot,0.43,0.32,0.49
abbreviate,0.53,0.38,0.33
abbreviated,0.5,0.5,0.5
abbreviation,0.47,0.3,0.35
abbreviator,0.5,0.78,0.68
abdicate,0.16,0.16,0.05
abdication,0.19,0.18,0.15
abdicator,0.16,0.19,0.04
abdomen,0.47,0.46,0.47
abdominal,0.49,0.46,0.44
abdominally,0.5,0.24,0.36
abduct,0.17,0.72,0.62
abducted,0.04,0.84,0.22
abductee,0.15,0.81,0.02
abduction,0.06,0.96,0.36
abductor,0.0,0.85,0.91
aberrant,0.15,0.77,0.43
aberration,0.12,0.82,0.41
aberrational,0.16,0.75,0.31
abet,0.33,0.84,0.87
abeyance,0.33,0.51,0.29
abhor,0.12,0.6,0.35
abhorrence,0.16,0.68,0.42
abhorrent,0.23,0.75,0.47
abhorrently,0.0,0.46,0.54
abhorring,0.0,0.85,0.91
abide,0.64,0.36,0.7
abide-by,0.43,0.46,0.29
abider,0.84,0.16,0.52
abiding,0.79,0.33,0.75
abilities,1.0,0.53,0.85
ability,0.88,0.51,0.78
abiotic,0.48,0.16,0.5
abject,0.36,0.59,0.41
abjection,0.0,0.16,0.03
abjectly,0.02,0.27,0.1
abjectness,0.0,0.12,0.0
abjudicate,0.5,0.78,0.98
ablation,0.42,0.5,0.5
ablaze,0.21,0.92,0.53
able,0.78,0.5,0.81
able-bodied,0.57,0.46,0.52
abloom,0.96,0.41,0.46
ably,0.85,0.84,0.89
abnormal,0.14,0.6,0.31
abnormality,0.09,0.65,0.38
abnormally,0.16,0.52,0.35
abnormity,0.16,0.37,0.28
aboard,0.7,0.29,0.48
abode,0.62,0.3,0.5
abolish,0.45,0.62,0.53
abolishable,0.36,0.16,0.5
abolisher,0.16,0.84,0.96
abolishment,0.36,0.16,0.81
abolition,0.33,0.69,0.53
abolitionary,0.84,0.72,0.73
abolitionism,0.89,0.84,0.89
abolitionist,0.98,0.84,0.96
abominable,0.12,0.73,0.48
abominableness,0.0,0.16,0.21
abominably,0.0,0.21,0.2
abominate,0.2,0.79,0.36
abomination,0.08,0.76,0.52
abominator,0.0,0.74,0.84
aboriginal,0.45,0.43,0.54
aboriginality,0.52,0.22,0.57
aborigine,0.5,0.5,0.28
abort,0.16,0.68,0.43
abortion,0.08,0.77,0.29
abortionist,0.16,0.81,0.98
abortive,0.09,0.78,0.28
abortively,0.16,0.84,0.1
abound,0.7,0.49,0.68
about,0.5,0.5,0.5
about-face,0.35,0.43,0.51
about-time,0.63,0.51,0.47
about-to,0.43,0.41,0.38
above,0.65,0.36,0.54
above-all,0.67,0.47,0.6
above-average,0.49,0.54,0.69
above-water,0.69,0.47,0.51
aboveboard,0.85,0.23,0.78
aboveground,0.67,0.45,0.63
abovementioned,0.54,0.3,0.51
abracadabra,0.67,0.63,0.43
abrasion,0.4,0.59,0.44
abrasive,0.39,0.61,0.6
abrasively,0.16,0.81,0.93
abrasiveness,0.23,0.8,0.25
abreast,0.64,0.38,0.52
abridge,0.5,0.79,0.74
abridged,0.5,0.21,0.31
abridgement,0.39,0.19,0.5
abridgment,0.36,0.16,0.73
abroad,0.67,0.6,0.56
abrogate,0.33,0.51,0.6
abrupt,0.27,0.82,0.54
abruption,0.16,0.84,0.26
abruptly,0.25,0.81,0.56
abruptness,0.16,0.82,0.57
abscess,0.16,0.45,0.35
abscond,0.16,0.84,0.77
absconder,0.16,0.84,0.25
absence,0.16,0.23,0.27
absent,0.17,0.22,0.11
absentee,0.23,0.33,0.28
absenteeism,0.4,0.27,0.36
absently,0.41,0.16,0.18
absentminded,0.16,0.21,0.25
absentmindedly,0.5,0.27,0.19
absentmindedness,0.16,0.16,0.19
absentness,0.3,0.04,0.02
absinthe,0.48,0.51,0.46
absolute,0.53,0.51,0.91
absolutely,0.61,0.52,0.91
absolutely-not,0.27,0.46,0.35
absoluteness,0.81,0.15,0.91
absolution,0.71,0.5,0.67
absolutism,0.41,0.28,1.0
absolutist,0.46,0.5,1.0
absolvable,0.85,0.33,0.38
absolve,0.68,0.45,0.66
absolvent,0.77,0.5,0.84
absolver,1.0,0.5,0.75
absorb,0.47,0.56,0.67
absorbability,0.67,0.1,0.46
absorbable,0.72,0.27,0.61
absorbance,0.5,0.41,0.75
absorbed,0.49,0.47,0.52
absorbedly,0.62,0.16,0.44
absorbedness,0.5,0.16,0.23
absorbency,0.84,0.33,0.5
absorbent,0.55,0.4,0.72
absorber,0.5,0.27,0.41
absorbing,0.49,0.49,0.58
absorption,0.61,0.42,0.44
absorptive,0.62,0.84,0.4
abstain,0.38,0.38,0.43
abstainer,0.36,0.16,0.48
abstention,0.27,0.27,0.51
abstentious,0.38,0.16,0.31
abstinence,0.26,0.39,0.43
abstinent,0.84,0.03,0.68
abstinently,0.33,0.12,0.27
abstract,0.44,0.29,0.44
abstractedly,0.5,0.24,0.35
abstractedness,0.5,0.02,0.36
abstracter,0.5,0.84,0.63
abstraction,0.47,0.44,0.53
abstractionism,0.84,0.23,0.64
abstractionist,0.67,0.35,0.79
abstractive,0.5,0.36,0.62
abstractly,0.5,0.02,0.57
abstractness,0.5,0.16,0.47
abstractor,0.5,0.79,0.74
absurd,0.19,0.65,0.29
absurdist,0.33,0.5,0.67
absurdity,0.11,0.53,0.22
absurdly,0.16,0.59,0.41
absurdness,0.06,0.23,0.33
abundance,0.81,0.69,0.85
abundant,0.96,0.59,0.76
abundantly,1.0,0.5,0.64
abuse,0.07,0.88,0.47
abused,0.02,0.88,0.23
abuser,0.12,0.7,0.29
abusive,0.12,0.91,0.57
abusively,0.15,1.0,0.68
abusiveness,0.0,0.88,0.96
abutment,0.5,0.27,0.62
abutting,0.5,0.84,0.54
abuzz,0.81,1.0,0.79
aby,0.38,0.45,0.37
abysmal,0.25,0.71,0.6
abysmally,0.0,0.16,0.02
abyss,0.36,0.73,0.3
abyssal,0.23,0.02,0.46
academia,0.58,0.49,0.64
academic,0.78,0.42,0.81
academic-freedom,0.75,0.54,0.6
academic-year,0.69,0.57,0.64
academically,0.84,0.16,0.7
academy,0.7,0.47,0.79
academy-award,0.64,0.65,0.78
academy-awards,0.83,0.67,0.75
acapulco,0.85,0.84,0.52
accede,0.7,0.51,0.54
accelerant,0.64,0.84,0.8
accelerate,0.62,0.9,0.76
accelerated,0.61,0.76,0.68
acceleration,0.7,0.91,0.84
accelerative,0.78,0.96,0.91
accelerator,0.6,0.83,0.81
acceleratory,0.72,1.0,0.85
accelerometer,0.5,0.84,0.84
accent,0.6,0.36,0.51
accentual,0.55,0.61,0.65
accentuate,0.67,0.56,0.67
accentuation,0.84,0.84,0.79
accept,0.84,0.29,0.57
acceptability,0.88,0.16,0.7
acceptable,0.81,0.29,0.59
acceptableness,0.84,0.16,0.65
acceptably,0.77,0.16,0.6
acceptance,0.84,0.29,0.76
acceptances,0.84,0.41,0.65
acceptant,0.84,0.27,0.26
accepter,0.84,0.5,0.5
acceptor,0.78,0.24,0.52
access,0.71,0.47,0.57
access-code,0.55,0.45,0.73
accessary,0.38,0.36,0.4
accessibility,0.68,0.46,0.51
accessible,0.79,0.41,0.64
accessibly,0.95,0.43,0.61
accession,0.61,0.38,0.64
accessories,0.71,0.54,0.4
accessorize,0.82,0.78,0.57
accessory,0.56,0.29,0.44
accident,0.12,0.91,0.33
accidental,0.32,0.78,0.3
accidentally,0.33,0.74,0.33
accidently,0.33,0.67,0.23
acclaim,0.56,0.81,0.72
acclaimer,0.91,0.84,0.8
acclamation,1.0,0.84,0.79
acclamatory,0.84,0.84,0.84
acclimate,0.67,0.82,0.62
acclimation,0.84,0.84,0.73
acclimatization,0.84,0.21,0.56
acclimatize,0.81,0.84,0.74
accolade,0.69,0.59,0.78
accommodate,0.84,0.38,0.57
accommodation,0.82,0.41,0.59
accommodative,0.81,0.19,0.39
accommodator,0.84,0.25,0.41
accompanied,0.5,0.53,0.4
accompanier,0.69,0.79,0.56
accompaniment,0.74,0.48,0.7
accompanist,0.78,0.72,0.33
accompany,0.84,0.4,0.59
accompanying,0.78,0.46,0.58
accomplice,0.41,0.58,0.52
accomplish,0.93,0.67,0.82
accomplishable,0.84,0.55,0.94
accomplished,0.87,0.52,0.8
accomplisher,0.96,0.92,0.95
accomplishment,0.91,0.7,0.89
accord,0.9,0.27,0.38
accordable,0.78,0.5,0.53
accordance,0.66,0.35,0.6
accordant,0.8,0.18,0.62
according-to,0.71,0.36,0.56
accordion,0.6,0.49,0.36
accordionist,0.54,0.84,0.72
accost,0.16,0.84,0.9
account,0.53,0.35,0.47
account-executive,0.6,0.62,0.7
account-for,0.5,0.49,0.5
account-name,0.62,0.4,0.45
accountability,0.76,0.54,0.84
accountable,0.71,0.28,0.78
accountably,0.85,0.5,0.91
accountancy,0.61,0.18,0.74
accountant,0.62,0.45,0.64
accounting,0.55,0.39,0.67
accounts,0.59,0.34,0.47
accounts-receivable,0.64,0.46,0.67
accoutrement,0.56,0.46,0.77
accredit,0.88,0.71,0.81
accreditation,0.85,0.16,0.84
accredited,0.67,0.48,0.76
accretion,0.45,0.52,0.67
accrual,0.84,0.84,0.82
accrue,0.52,0.48,0.6
accruement,0.84,0.41,0.76
accueil,0.45,0.45,0.47
accumulate,0.57,0.54,0.6
accumulation,0.48,0.53,0.6
accumulative,0.64,0.24,0.77
accumulatively,0.5,0.84,0.75
accumulativeness,0.8,0.82,0.77
accumulator,0.5,0.74,0.84
accuracy,0.6,0.48,0.8
accurate,0.74,0.36,0.73
accurately,0.84,0.59,0.78
accurateness,0.84,0.06,0.9
accurse,0.0,0.84,0.41
accursed,0.14,0.74,0.35
accursedly,0.0,0.57,0.21
accursedness,0.0,0.24,0.09
accusable,0.16,0.61,0.16
accusation,0.08,0.72,0.57
accusative,0.2,0.76,0.48
accusatively,0.19,0.84,0.62
accusatorial,0.16,0.84,0.89
accusatorially,0.16,0.82,0.79
accusatory,0.16,0.84,0.97
accuse,0.14,0.75,0.5
accused,0.13,0.67,0.42
accused-of,0.29,0.57,0.36
accuser,0.12,0.78,0.62
accusing,0.16,0.74,0.33
accustom,0.52,0.27,0.57
accustomed,0.54,0.36,0.44
accustomed-to,0.57,0.51,0.57
ace,0.64,0.48,0.54
acerbate,0.0,0.84,0.31
acerbic,0.16,0.5,0.62
acetaminophen,0.67,0.33,0.5
acetate,0.5,0.16,0.5
acetic,0.33,0.42,0.52
acetone,0.38,0.5,0.59
acetyl,0.5,0.5,0.54
acetylene,0.3,0.47,0.51
ache,0.15,0.76,0.31
ache-for,0.49,0.6,0.35
achievable,1.0,0.41,0.78
achieve,0.82,0.54,0.84
achieve-success,1.0,0.56,0.88
achieved,0.9,0.52,0.78
achievement,0.9,0.81,0.76
achiever,0.96,0.84,1.0
