term,valence,arousal,dominance
$:,-1.5,-0.1,-0.1
%),-0.4,-0.1,-0.1
%-),-1.5,-0.1,-0.1
&-:,-0.4,-0.1,-0.1
&:,-0.7,-0.1,-0.1
( '}{' ),1.6,-0.1,-0.1
(%,-0.9,-0.1,-0.1
('-:,2.2,-0.1,-0.1
(':,2.3,-0.1,-0.1
((-:,2.1,-0.1,-0.1
(*,1.1,-0.1,-0.1
(-%,-0.7,-0.1,-0.1
(-*,1.3,-0.1,-0.1
(-:,1.6,-0.1,-0.1
(-:0,2.8,-0.1,-0.1
(-:<,-0.4,-0.1,-0.1
(-:o,1.5,-0.1,-0.1
(-:O,1.5,-0.1,-0.1
(-:{,-0.1,-0.1,-0.1
(-:|>*,1.9,-0.1,-0.1
(-;,1.3,-0.1,-0.1
(-;|,2.1,-0.1,-0.1
(8,2.6,-0.1,-0.1
(:,2.2,-0.1,-0.1
(:0,2.4,-0.1,-0.1
(:<,-0.2,-0.1,-0.1
(:o,2.5,-0.1,-0.1
(:O,2.5,-0.1,-0.1
(;,1.1,-0.1,-0.1
(;<,0.3,-0.1,-0.1
(=,2.2,-0.1,-0.1
(?:,2.1,-0.1,-0.1
(^:,1.5,-0.1,-0.1
(^;,1.5,-0.1,-0.1
(^;0,2.0,-0.1,-0.1
(^;o,1.9,-0.1,-0.1
(o:,1.6,-0.1,-0.1
)':,-2.0,-0.1,-0.1
)-':,-2.1,-0.1,-0.1
)-:,-2.1,-0.1,-0.1
)-:<,-2.2,-0.1,-0.1
)-:{,-2.1,-0.1,-0.1
):,-1.8,-0.1,-0.1
):<,-1.9,-0.1,-0.1
):{,-2.3,-0.1,-0.1
);<,-2.6,-0.1,-0.1
*),0.6,-0.1,-0.1
*-),0.3,-0.1,-0.1
*-:,2.1,-0.1,-0.1
*-;,2.4,-0.1,-0.1
*:,1.9,-0.1,-0.1
*<|:-),1.6,-0.1,-0.1
*\0/*,2.3,-0.1,-0.1
*^:,1.6,-0.1,-0.1
",-:",1.2,-0.1,-0.1
---'-;-{@,2.3,-0.1,-0.1
--<--<@,2.2,-0.1,-0.1
.-:,-1.2,-0.1,-0.1
..###-:,-1.7,-0.1,-0.1
..###:,-1.9,-0.1,-0.1
/-:,-1.3,-0.1,-0.1
/:,-1.3,-0.1,-0.1
/:<,-1.4,-0.1,-0.1
/=,-0.9,-0.1,-0.1
/^:,-1.0,-0.1,-0.1
/o:,-1.4,-0.1,-0.1
0-8,0.1,-0.1,-0.1
0-|,-1.2,-0.1,-0.1
0:),1.9,-0.1,-0.1
0:-),1.4,-0.1,-0.1
0:-3,1.5,-0.1,-0.1
0:03,1.9,-0.1,-0.1
0;^),1.6,-0.1,-0.1
0_o,-0.3,-0.1,-0.1
10q,2.1,-0.1,-0.1
1337,2.1,-0.1,-0.1
143,3.2,-0.1,-0.1
1432,2.6,-0.1,-0.1
14aa41,2.4,-0.1,-0.1
182,-2.9,-0.1,-0.1
187,-3.1,-0.1,-0.1
2g2b4g,2.8,-0.1,-0.1
2g2bt,-0.1,-0.1,-0.1
2qt,2.1,-0.1,-0.1
3:(,-2.2,-0.1,-0.1
3:),0.5,-0.1,-0.1
3:-(,-2.3,-0.1,-0.1
3:-),-1.4,-0.1,-0.1
4col,-2.2,-0.1,-0.1
4q,-3.1,-0.1,-0.1
5fs,1.5,-0.1,-0.1
8),1.9,-0.1,-0.1
8-d,1.7,-0.1,-0.1
8-o,-0.3,-0.1,-0.1
86,-1.6,-0.1,-0.1
8d,2.9,-0.1,-0.1
:###..,-2.4,-0.1,-0.1
